run_name,datetime,hyperparameters,epoch,train_loss,test_loss,accuracy_top1
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0074,2.4464,0.6778
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0040,2.4098,0.6794
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0027,2.3864,0.6808
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.3828,0.6829
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0017,2.3807,0.6833
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.3773,0.6834
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.3782,0.6837
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.3796,0.6839
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0013,2.3772,0.6836
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.6666,9.9308,0.0075
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.3838,8.9746,0.0359
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.6158,7.8906,0.0634
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.6951,7.1638,0.0858
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.8245,6.9454,0.0995
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.1890,7.8131,0.1179
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.6707,4.4267,0.3081
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.1930,3.6017,0.4405
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6083,3.3779,0.4928
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3171,2.9566,0.5492
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1677,3.1715,0.5463
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1007,2.8299,0.5852
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0586,2.6398,0.6307
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0327,2.5710,0.6499
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0196,2.4044,0.6790
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0113,2.3940,0.6858
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0069,2.2401,0.7010
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0042,2.1780,0.7079
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0026,2.1701,0.7088
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.1645,0.7104
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0017,2.1637,0.7111
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.1608,0.7108
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0013,2.1592,0.7108
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.1589,0.7108
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.1593,0.7108
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.6666,9.9308,0.0075
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.3838,8.9746,0.0359
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.6158,7.8906,0.0634
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.6951,7.1638,0.0858
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.8245,6.9454,0.0995
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.1890,7.8131,0.1179
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.6707,4.4267,0.3081
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.1930,3.6017,0.4405
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6083,3.3779,0.4928
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3171,2.9566,0.5492
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1677,3.1715,0.5463
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1007,2.8299,0.5852
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0586,2.6398,0.6307
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0327,2.5710,0.6499
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0196,2.4044,0.6790
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0113,2.3940,0.6858
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0069,2.2401,0.7010
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0042,2.1780,0.7079
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0026,2.1701,0.7088
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.1645,0.7104
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0017,2.1637,0.7111
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.1608,0.7108
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0013,2.1592,0.7108
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.1589,0.7108
prod_3,2025-07-23 19:58:33,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.1593,0.7108
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.7483,10.8513,0.0037
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.6258,9.2509,0.0280
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.8776,8.1382,0.0511
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.9246,7.4070,0.0732
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,3.0289,7.1813,0.0846
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.3966,7.4556,0.1145
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.8655,4.4950,0.2984
